code,size,rooms,price,url,image_url,type,neighborhood,street,bedrooms,floor,interior,bathrooms,year_built,description,central_heating,yard
A11071,50 m²,3,400 €,https://www.novelestate.com/estate_view.html?id=A11071,https://novelestate.com/images/estate/20306/11.jpg,rent,Козле,,2,високо приземје,Наместен,1,2011,"Се издава наместен стан во Скопје, Козле со површина од 50 m2.
 Екстра: Клима, Греење на струја, Паркинг.
 Цена: 400 EUR",,
A12152,125 m²,4,1300 €,https://www.novelestate.com/estate_view.html?id=A12152,https://novelestate.com/images/estate/22195/29.jpg,rent,Кисела Вода,,3,15,Наместен,2,,"Се издава наместен стан во Скопје, Кисела Вода со површина од 125 m2.
 Екстра: Клима, Лифт, Нова Зграда, Паркинг, Сопствено парно.
 Цена: 1300 EUR",,
A11907,84 m²,2,500 €,https://www.novelestate.com/estate_view.html?id=A11907,https://novelestate.com/images/estate/21776/viber_image_2024-11-04_13-03-31-433.jpg,rent,Карпош 1,ул.Мирка Гинова,1,2,Наместен,1,,"Се издава наместен стан во Скопје, Карпош 1 со површина од 84 m2.
 Екстра: Клима, Сопствено парно, Интернет, Кабловска ТВ, Нова Зграда, Паркинг.
 Цена: 500 EUR",,
A5587,115 m²,4,500 €,https://www.novelestate.com/estate_view.html?id=A5587,https://novelestate.com/images/estate/10277/DSC02845.JPG,rent,Центар,,3,1/3,Наместен,2,,"Се издава наместен стан во Скопје, Центар со површина од 115 m2.
 Екстра: Клима, Греење на струја, Лифт, Краток престој.
 Цена: 500 EUR",,
A11191,54 m²,2,400 €,https://www.novelestate.com/estate_view.html?id=A11191,https://novelestate.com/images/estate/20520/5.jpg,rent,Козле,,1,1,Наместен,1,2017,"Се издава наместен стан во Скопје, Козле со површина од 54 m2.
 Екстра: Клима, Сопствено парно, Нова Зграда, Гаража.
 Цена: 400 EUR",,
A14979,116 m²,5,850 €,https://ww    w.novelestate.com/estate_view.html?id=A14979,https://novelestate.com/images/estate/27071/se-izdava-stan-vo-karpos-4 (4).jpeg,rent,Карпош 4,,4,1,Наместен,2,,"Се издава наместен стан во Скопје, Карпош 4 со површина од 116 m2.
 Екстра: Клима, Централно Парно, Лифт, Нова Зграда.
 Цена: 850 EUR",Yes,
A15012,93 m²,4,1300 €,https://www.novelestate.com/estate_view.html?id=A15012,https://novelestate.com/images/estate/27124/viber_image_2024-08-30_12-23-40-068.jpg,rent,Водно,,3,3/3,Наместен,2,,"Целосно наместен стан со три спални соби (93м2+40м2 тераса), опремен со модерен мебел, во населбата Водно.Пространа распределба со отворен концепт на дневната соба и големи прозорци за обилна природна светлина;- Целосно опремена кујна со сите потребни апарати;- Кровна тераса (дополнителни 40м2) опремена со седечки сет и дрвена пергола, како и дополнителен тоалет;- Главна спална соба со кревет со димензии „king-size“;- 2 дополнителни спални соби (едната целосно опремена детска соба);- Неколку плакари со доволно простор за складирање во секоја од собите;- Приватен балкон на нивото на станот за уживање во утринското кафе или релаксирање со вечерни погледи кон градот;- 1 бања со туш кабина;- 1 тоалет со вклучена машина за перење и сушење;- Приватно паркинг место во затворена гаража.",,
A13907,85 m²,3,800 €,https://www.novelestate.com/estate_view.html?id=A13907,https://novelestate.com/images/estate/24998/viber_image_2021-11-29_12-06-03-378.jpg,rent,Капиштец,,,4/7,Наместен,2,,"Се издава наместен стан во Скопје, Капиштец со површина од 85 m2.
 Екстра: Централно Парно, Лифт, Нова Зграда, Гаража, Клима.
 Цена: 800 EUR",Yes,
A11696,50 m²,2,Please contact,https://www.novelestate.com/estate_view.html?id=A11696,https://novelestate.com/images/estate/21434/Se-izdava-namesten-stan-od-50m2-vo-Centar.jpeg,rent,Центар,,1,4,Наместен,1,,"Се издава наместен стан во Скопје, Центар со површина од 50 m2.
 Екстра: Клима, Централно Парно.
 Цена: 0 EUR",Yes,
A6298,53 m²,3,400 €,https://www.novelestate.com/estate_view.html?id=A6298,https://novelestate.com/images/estate/11285/45645056_492345747916023_8054759565016694784_n.jpg,rent,Тафталиџе 1,,2,2/3,Наместен,1,,"Се издава наместен стан во Скопје, Тафталиџе 1 со површина од 53 m2.
 Екстра: Клима, Сопствено парно, Интернет, Нова Зграда, Паркинг.
 Цена: 400 EUR",,
