url,price,image_url,type,commission,structure,furnished,size,title_deed,neighborhood,available_from,bedrooms,heating,bathrooms,window_type,year_bult,intercom,renovated,security,cameras,elevator,fireplace,terrace,parking,images,floor
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2265/,"135,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,64 m2,Да,Џевахир,Веднаш,2,Инвертер,1,ПВЦ,2023,Да,Нов,Да,Да,Да,Не,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2459.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2451.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2459.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2265/,"135,000 €",https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,64 m2,Да,Џевахир,Веднаш,2,Инвертер,1,ПВЦ,2023,Да,Нов,Да,Да,Да,Не,Не,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2459.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2451.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2459.jpg', 'https://www.square.mk/wp-content/uploads/2025/02/IMG_2450.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2256/,"118,000 €",https://www.square.mk/wp-content/uploads/2025/06/huge-2.png,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,51 m2,Да,Џевахир,Веднаш,1,Инвертер,1,ПВЦ,2021,Да,Нов,Да,Да,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_5092.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_5080.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_5081.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_5092.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_5080.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",8
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2264/,"100,800 €",https://www.square.mk/wp-content/uploads/2025/04/IMG_4255.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,48 m2,Да,Ист Гејт,Веднаш,1,Парно,1,ПВЦ,2025,Да,Нов,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4268.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4255.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4256.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4268.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4255.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",9
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2263/,"105,000 €",https://www.square.mk/wp-content/uploads/2025/05/huge.png,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,59 m2,Да,Козле,Веднаш,1,Парно,2,ПВЦ,2015,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4875.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4860.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4861.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4875.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4860.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2262/,"120,000 €",https://www.square.mk/wp-content/uploads/2025/05/IMG_4763.jpg,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,59 m2,Да,Карпош,Веднаш,1,Парно,1,Дрво,1982,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4770.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4763.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4764.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4770.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4763.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",2
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2261/,"274,500 €",https://www.square.mk/wp-content/uploads/2025/05/IMG_4744.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,122 m2,Да,Центар,Веднаш,3,Парно,2,ПВЦ,1980,Да,Да,Не,Не,Не,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4760.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4744.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4745.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4760.jpg', 'https://www.square.mk/wp-content/uploads/2025/05/IMG_4744.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",3
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2258/,"185,000 €",https://www.square.mk/wp-content/uploads/2025/04/IMG_4286.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,100 m2,Да,Карпош,Веднаш,2,Парно,2,ПВЦ,2011,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4302.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4286.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4287.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4302.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4286.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",5
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2257/,"131,200 €",https://www.square.mk/wp-content/uploads/2025/04/IMG_4305.jpg,sale,БЕЗ ПРОВИЗИЈА,Трособен,Да,82 m2,Да,Аеродром,Веднаш,2,Парно,2,ПВЦ,2002,Да,Да,Не,Не,Да,Не,Да,Не,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4319.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4305.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4306.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4319.jpg', 'https://www.square.mk/wp-content/uploads/2025/04/IMG_4305.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",5
https://www.square.mk/prodazba-na-stanovi-vo-skopje/2259/,"95,500 €",https://www.square.mk/wp-content/uploads/2025/04/huge-1.png,sale,БЕЗ ПРОВИЗИЈА,Двособен,Да,77 m2,Да,Кисела Вода,Веднаш,1,Парно,2,Алуминиум,2007,Да,Да,Не,Не,Да,Не,Да,Да,"['https://www.square.mk/wp-content/uploads/2022/11/Logo.webp', 'https://www.square.mk/wp-content/uploads/2023/09/2045_WEB_00010.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/2045_WEB_00000.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/2045_WEB_00001.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/2045_WEB_00010.jpg', 'https://www.square.mk/wp-content/uploads/2023/09/2045_WEB_00000.jpg', 'https://www.square.mk/wp-content/uploads/2022/12/Logo-white.webp']",4
